#                ech   decider              branch_name                  ts  scenario           value
 2015-01-01T10:30:00       tso               branch_1_2 2015-01-01T11:00:00        S1  6.00000000E+01
 2015-01-01T10:30:00       tso               branch_1_2 2015-01-01T11:15:00        S1  6.00000000E+01
 2015-01-01T10:30:00       tso               branch_1_2 2015-01-01T11:30:00        S1  6.00000000E+01
 2015-01-01T10:30:00       tso               branch_1_2 2015-01-01T11:45:00        S1  6.00000000E+01
 2015-01-01T10:30:00       tso               branch_2_3 2015-01-01T11:00:00        S1 -3.99999000E+01
 2015-01-01T10:30:00       tso               branch_2_3 2015-01-01T11:15:00        S1 -3.99999000E+01
 2015-01-01T10:30:00       tso               branch_2_3 2015-01-01T11:30:00        S1 -3.99999000E+01
 2015-01-01T10:30:00       tso               branch_2_3 2015-01-01T11:45:00        S1 -3.99999000E+01
